times,looking_binary,rmsVals,brightVals,roughVals,fluxVals,pitchVals
112,1,0.0538532228535532,3962.99408240292,30465.6888889794,691.398610327463,250.383565796859
112.5,1,0.0630614375415256,2160.62676993904,80585.2144746754,635.986853124385,269.115688142302
113,0,0.0522286023810572,1761.89696057425,49591.4568326809,581.01202426747,263.513261389215
113.5,0,0.0457214329523104,1866.3630872601,17942.9211660997,434.593469448878,260.924394374755
114,0,0.0515630527191118,2631.80092494665,35509.5302821632,440.735230796973,269.071543872244
114.5,0,0.0535704333086011,1716.6559907859,26633.7054989799,463.448587801318,287.284942393634
115,0,0.0620463928125683,2212.72762328321,44006.912515894,784.893085194318,335.154009970311
115.5,0,0.0682278240853753,2734.08892975316,67272.6312183941,559.259722274918,331.68531236163
116,0,0.0784371445937859,2016.30239566573,93449.5916051418,743.157673448145,337.171750722469
116.5,0,0.0872226200929699,1678.13413198204,143573.552931587,918.124772849823,339.721621633089
117,0,0.0809152658939967,1975.53097843461,130428.238457647,1066.14831801707,343.242849514135
117.5,0,0.0626797241650378,2663.17008856251,27962.7741878539,979.129203042245,347.973128484954
118,0,0.0683892379277184,2248.28224649395,24751.9681501796,938.326820628336,390.417408021852
118.5,0,0.0734172946215439,2355.93294795099,33183.8576876375,603.572682317121,390.888969269477
119,0,0.0520015471805255,4724.31476428937,28698.9503201249,818.916489554443,394.386629586215
119.5,0,0.0425407717448845,5208.1902278314,18432.2604317262,365.172235207877,391.949164892576
120,0,0.0454357799044975,2574.62633014891,28324.0396999628,555.888813970579,361.804491020311
120.5,0,0.046552007715146,1749.32501984844,13952.2039286255,421.845470509376,256.075941913423
121,0,0.0630688499612798,2395.16671365008,39172.4334969504,554.669175920527,262.868295337948
121.5,0,0.0657594977878454,2365.92140158494,51344.6581968449,479.89632649192,270.898042674649
122,0,0.0637311984613945,1764.74773539335,48165.4677574395,663.235907494364,255.181929422219
122.5,0,0.0749552949453205,1739.26218822844,70575.3591154942,487.40143406438,321.17457772792
123,0,0.078329134633103,2131.39267013926,142354.162878388,952.044209552877,336.333178555711
123.5,0,0.0744032676425589,2527.96581904262,73350.6838871661,903.431438679112,330.81551700032
124,0,0.0916636603460563,1673.55811451776,26817.2026302122,883.03852778514,341.057010393552
124.5,0,0.0880529559786602,2835.9453904308,75033.1601700983,744.697209883943,352.844092027996
125,0,0.06479889996391,2284.97953603235,61501.4314550806,880.804225665795,357.94979783114
125.5,0,0.0575607784090261,4127.49966827836,20959.2597858515,531.586167266037,358.788762890872
126,0,0.0616573397848367,2206.28761981653,10529.9273033301,827.32033701724,391.428740119137
126.5,0,0.0751309288184114,2412.89477802302,89785.1825100493,912.632195083588,384.826089415641
127,0,0.0590413224438016,4758.01642996232,41115.1481766023,937.54750244259,391.143124627066
127.5,0,0.0480914697655852,3036.72938927394,70340.2655106901,437.283176157986,401.097145735087
128,0,0.0691307472502562,2063.58605400832,98997.8499882799,475.419152417572,394.343140181408
128.5,0,0.0833112213527288,2148.60234021356,300920.919498061,713.831455410131,262.142874639841
129,0,0.0762274211870277,2466.19329250635,108592.757470333,617.022197639699,267.946334968665
129.5,0,0.0736268002707861,2372.01928482557,132447.967294095,769.230840554739,266.526438207477
130,0,0.0664275647557522,1829.790665143,97678.7675116294,588.968123598921,265.074685714655
130.5,0,0.0592699675949916,2168.2924776182,54554.8141181447,706.749956112615,271.270485216243
131,1,0.0788949540945558,2115.66954579799,28604.8989195971,868.004396021766,335.325143294416
131.5,1,0.0859920790130304,2061.74776648934,181154.277232682,612.751689592081,332.348797944217
132,1,0.107767046553245,1822.93202907666,167175.59900402,616.948609403278,332.075460890045
132.5,1,0.135101016395202,1677.96824297156,496506.758416676,1844.8463520044,356.166922815113
133,1,0.128505582722968,2137.10140704133,177506.355969982,1392.77586734352,354.346003108862
133.5,1,0.1170735839711,2181.1037718711,157533.480463912,1615.25855897033,358.139302250675
134,1,0.0946510897446072,1773.98498207179,26800.9415317771,1290.87111646588,352.054347877951
134.5,1,0.0752720261889517,2567.82075959355,57576.3444392724,1083.70350704724,402.681738891547
135,1,0.0792745606558279,2395.55548801837,22959.3039462705,961.585307968198,391.846946850412
135.5,1,0.0538711530192627,3510.91314695337,1204.50599876519,841.392404399928,389.397057537884
136,1,0.0596851925322364,3074.65448849986,1226.48731104807,326.509743395749,413.877656075015
136.5,1,0.0749051447776276,2432.01061622354,155942.607291592,1077.84763923748,410.736447435862
137,1,0.0523603970192663,7925.77473344494,58666.7732319027,1157.67604449355,398.580516834704
137.5,1,0.0246646588910878,5241.97683559807,1482.53343194253,418.889146578729,484.289342947257
138,1,0.0454484862914685,2684.21016739889,65.6120347405631,197.171817812473,384.860633484653
138.5,1,0.0729495561290635,2290.30928066906,80876.733171832,1045.29744020799,396.585582480711
139,1,0.0620775709921254,1938.62069247606,27318.5120129975,756.842595412696,392.862665348051
139.5,1,0.0275249182956236,2993.83028589237,2437.28521531238,689.975734746404,NaN
140,1,0.0395303964667023,3220.80709851537,9356.55630125848,393.925496642741,394.91272809292
140.5,1,0.050920690032624,2881.06111185211,34895.5371655585,647.319711485999,394.072554964641
141,1,0.0452036555549095,5176.39771754268,17316.7925939889,641.683100518161,371.662868107659
141.5,1,0.0682077235926344,4969.27840935856,45873.8392278406,868.912927414748,353.81743922388
142,1,0.0662042949523627,5776.4871594618,15274.631737924,588.217081997346,349.95810734785
142.5,1,0.0505812194595798,2620.94243993297,33900.4670502066,762.830058008216,233.781738213753
143,1,0.0544992906712515,1688.33670928964,24041.3961624428,549.050335936305,252.855834911016
143.5,1,0.0347644274589963,5987.88151858281,6092.45955723466,395.011666962933,264.828090221627
144,1,0.0217564891265982,4205.28092773555,934.148550160961,310.425495545377,NaN
144.5,1,0.0377271237558098,5043.08816027613,11737.8648749559,451.471353085466,NaN
145,1,0.0425303474781736,2454.18692824939,16508.6168540495,480.510736007166,257.629887534275
145.5,1,0.0279831516036381,1959.37272036584,4874.44888467528,367.944473754539,NaN
146,1,0.012063026673609,2510.38729998292,262.054670903764,251.271363609198,NaN
146.5,1,0.0343466519802144,4900.37451770755,841.177836502107,228.728583238699,393.714779019614
147,1,0.0486071459646204,3827.14310427285,24698.9272695142,595.073822106809,332.906753552567
147.5,1,0.0379452852727554,2051.63154616146,6872.89610940527,381.209718796186,337.946449652917
148,0,0.0160988017045779,2415.61007826221,222.672234691715,377.281501509228,NaN
148.5,0,0.0017007374462444,3957.36407101903,0,93.9032694143901,NaN
149,0,0.0261748810513808,5581.14009448769,12.883843012929,92.5706279683231,433.643273529051
149.5,0,0.0461516341459097,4583.34932541944,48860.5033482104,633.872905358748,352.182294819055
150,0,0.0493423577195285,3025.06093142583,38539.9564316557,482.113897145242,338.401771482292
150.5,0,0.0407735842013663,3836.01970966113,17043.7655266515,420.646851474573,354.9257456008
151,1,0.0366183611947062,3203.01240781747,20582.9102720014,489.839957464744,375.521923285483
151.5,1,0.0437138362862546,4209.05425670851,23222.1381427662,629.079369109086,399.35756006756
152,1,0.0381510174354044,2299.00211289733,9251.89586583162,456.142999118567,394.406581615442
152.5,1,0.0146732030650291,2708.25486609328,144.090141570312,345.084525670483,NaN
153,1,0.0139862433317962,5250.01898807873,0,98.1577710699462,NaN
153.5,1,0.0434888183274603,4402.34240734919,12152.4384091465,574.09934379403,NaN
